dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,label_prop_train,label_prop_test,label_prop_train_std,label_prop_test_std
flowers102,RBF,True,100,BothSides,False,False,True,100.0,12.909586056644882,0.0,2.1178608223873705
flowers102,RBF,True,100,BothSides,False,False,False,100.0,13.117647058823529,0.0,2.092534468009492
flowers102,RBF,True,1000,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,1000,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,1000,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,1000,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,1000,BothSides,True,False,True,100.0,4.044662309368192,0.0,1.3024291497575486
flowers102,RBF,True,1000,BothSides,True,False,False,100.0,4.049019607843138,0.0,1.3011894795294847
flowers102,RBF,True,1000,BothSides,False,False,True,100.0,3.3605664488017437,0.0,1.3558810008022073
flowers102,RBF,True,1000,BothSides,False,False,False,100.0,3.367102396514162,0.0,1.3562065254456581
flowers102,RBF,True,0,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,0,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,True,0,BothSides,False,False,True,100.0,3.363834422657953,0.0,1.3545592855342528
flowers102,RBF,True,0,BothSides,False,False,False,100.0,3.3692810457516345,0.0,1.356570460485327
flowers102,RBF,False,5,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,5,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,5,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,5,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,5,BothSides,True,False,True,100.0,22.543572984749463,0.0,1.5606927585062758
flowers102,RBF,False,5,BothSides,True,False,False,100.0,22.595860566448806,0.0,1.545325518055832
flowers102,RBF,False,5,BothSides,False,False,True,100.0,33.64596949891068,0.0,1.528602703903198
flowers102,RBF,False,5,BothSides,False,False,False,100.0,33.692810457516345,0.0,1.50960899375766
flowers102,RBF,False,50,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,50,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,50,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,50,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,50,BothSides,True,False,True,100.0,26.408496732026148,0.0,1.6102307198432666
flowers102,RBF,False,50,BothSides,True,False,False,100.0,26.415032679738566,0.0,1.611574320509889
flowers102,RBF,False,50,BothSides,False,False,True,100.0,21.502178649237475,0.0,1.4010336631072926
flowers102,RBF,False,50,BothSides,False,False,False,100.0,21.595860566448806,0.0,1.4446904662706421
flowers102,RBF,False,500,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,500,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,500,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,500,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,500,BothSides,True,False,True,100.0,12.604575163398694,0.0,1.331500067513034
flowers102,RBF,False,500,BothSides,True,False,False,100.0,12.594771241830067,0.0,1.3287777987084335
flowers102,RBF,False,500,BothSides,False,False,True,100.0,1.2647058823529413,0.0,0.3526098528229477
flowers102,RBF,False,500,BothSides,False,False,False,100.0,1.2647058823529413,0.0,0.3526098528229477
flowers102,RBF,False,40,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,40,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,40,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,40,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,40,BothSides,True,False,True,100.0,27.46514161220044,0.0,1.6007998692457914
flowers102,RBF,False,40,BothSides,True,False,False,100.0,27.44771241830066,0.0,1.6737681024037816
flowers102,RBF,False,40,BothSides,False,False,True,100.0,22.969498910675384,0.0,1.3380542819669612
flowers102,RBF,False,40,BothSides,False,False,False,100.0,23.011982570806097,0.0,1.3128395506831103
flowers102,RBF,False,30,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,30,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,30,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,30,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,30,BothSides,True,False,True,100.0,28.480392156862752,0.0,1.5187681674487195
flowers102,RBF,False,30,BothSides,True,False,False,100.0,28.535947712418295,0.0,1.5630893523066616
flowers102,RBF,False,30,BothSides,False,False,True,100.0,25.054466230936825,0.0,1.4485969681812019
flowers102,RBF,False,30,BothSides,False,False,False,100.0,25.098039215686278,0.0,1.472805558270638
flowers102,RBF,False,20,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,20,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,20,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,20,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,20,BothSides,True,False,True,100.0,28.537037037037038,0.0,1.6024150273890587
flowers102,RBF,False,20,BothSides,True,False,False,100.0,28.538126361655777,0.0,1.5633216366784384
flowers102,RBF,False,20,BothSides,False,False,True,100.0,28.338779956427015,0.0,1.4831125680749524
flowers102,RBF,False,20,BothSides,False,False,False,100.0,28.411764705882355,0.0,1.4527180184781632
flowers102,RBF,False,200,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,200,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,200,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,200,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,200,BothSides,True,False,True,100.0,18.99455337690632,0.0,1.4544547926570055
flowers102,RBF,False,200,BothSides,True,False,False,100.0,19.00326797385621,0.0,1.4646758417675767
flowers102,RBF,False,200,BothSides,False,False,True,100.0,3.7690631808278874,0.0,1.3554105146050905
flowers102,RBF,False,200,BothSides,False,False,False,100.0,3.838779956427016,0.0,1.3505094991066156
flowers102,RBF,False,10,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,10,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,10,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,10,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,10,BothSides,True,False,True,100.0,27.459694989106755,0.0,1.611293391430483
flowers102,RBF,False,10,BothSides,True,False,False,100.0,27.589324618736388,0.0,1.6257493882441834
flowers102,RBF,False,10,BothSides,False,False,True,100.0,32.44444444444445,0.0,1.595532991877065
flowers102,RBF,False,10,BothSides,False,False,False,100.0,32.41938997821351,0.0,1.6286692701101775
flowers102,RBF,False,100,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,100,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,100,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,100,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,100,BothSides,True,False,True,100.0,22.67429193899782,0.0,1.4775816124522816
flowers102,RBF,False,100,BothSides,True,False,False,100.0,22.651416122004356,0.0,1.4681913816786816
flowers102,RBF,False,100,BothSides,False,False,True,100.0,12.699346405228757,0.0,2.2304931731402613
flowers102,RBF,False,100,BothSides,False,False,False,100.0,12.867102396514163,0.0,2.1828543295970166
flowers102,RBF,False,1000,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,1000,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,1000,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,1000,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,1000,BothSides,True,False,True,100.0,4.344226579520697,0.0,1.9212474845146477
flowers102,RBF,False,1000,BothSides,True,False,False,100.0,4.343137254901961,0.0,1.9198495786098198
flowers102,RBF,False,1000,BothSides,False,False,True,100.0,3.5152505446623095,0.0,1.638327930086289
