dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,acc_train,acc_train_std,acc_test,acc_test_std
flowers102,kalofolias,False,100,BothSides,False,True,True,99.92156862745098,0.3304372460069157,29.086056644880177,1.5530801019359
flowers102,kalofolias,False,100,BothSides,False,True,False,97.55882352941178,1.289467283285465,25.88126361655774,1.5523617304463067
flowers102,kalofolias,False,1000,None,False,True,True,1.0098039215686274,0.21724039025647382,0.9989106753812638,0.147002329179183
flowers102,kalofolias,False,1000,None,False,True,False,0.9803921568627452,1.1102230246251565e-16,0.973856209150327,0.05067408866933772
flowers102,kalofolias,False,1000,BothSides,False,True,True,10.568627450980388,2.669044499258762,4.528322440087146,0.8762470627053638
flowers102,kalofolias,False,1000,BothSides,False,True,False,5.147058823529411,1.2885724929504818,2.996732026143791,0.694694516894543
flowers102,RBF,True,5,None,True,False,True,99.6764705882353,0.5379664673850545,29.957516339869287,1.750154848119471
flowers102,RBF,True,5,None,True,False,False,66.62745098039218,3.877001659596254,23.553376906318086,1.549491423445928
flowers102,RBF,True,5,None,False,False,True,99.49019607843138,0.6274509803921536,29.905228758169933,1.6230903920073108
flowers102,RBF,True,5,None,False,False,False,99.49019607843138,0.5960268295517885,29.2037037037037,1.4993234694042095
flowers102,RBF,True,5,BothSides,True,False,True,99.7156862745098,0.5055440425236734,31.36928104575164,1.8962044198515178
flowers102,RBF,True,5,BothSides,True,False,False,66.62745098039218,3.877001659596254,23.603485838779957,1.5733015571224926
flowers102,RBF,True,5,BothSides,False,False,True,100.0,0.0,35.331154684095864,1.8278088069381715
flowers102,RBF,True,5,BothSides,False,False,False,99.98039215686275,0.13725490196078285,34.51307189542484,1.7918681406549535
flowers102,RBF,True,50,None,True,False,True,70.6372549019608,4.892883752827683,19.005446623093686,1.7724523353944126
flowers102,RBF,True,50,None,True,False,False,63.72549019607843,4.691563181962901,17.55446623093682,1.7951973871817248
flowers102,RBF,True,50,None,False,False,True,13.990196078431376,2.9374322572702027,5.741830065359478,1.285245642295171
flowers102,RBF,True,50,None,False,False,False,13.38235294117647,2.839331462269526,5.643790849673204,1.1509471119116712
flowers102,RBF,True,50,BothSides,True,False,True,98.73529411764706,0.9930070758418859,27.625272331154687,1.650245904961124
flowers102,RBF,True,50,BothSides,True,False,False,94.75490196078432,1.9528023810825579,26.267973856209156,1.5276992317643312
flowers102,RBF,True,50,BothSides,False,False,True,94.56862745098039,1.9332378769737018,18.984749455337692,1.3129936504143693
flowers102,RBF,True,50,BothSides,False,False,False,93.92156862745098,2.0424182996078097,18.565359477124186,1.3022104701768369
flowers102,RBF,True,500,None,True,False,True,1.7156862745098038,0.7254239503406246,1.4379084967320264,0.46164749674111316
flowers102,RBF,True,500,None,True,False,False,1.7843137254901962,0.7642029517609833,1.395424836601307,0.43564677857411355
flowers102,RBF,True,500,None,False,False,True,0.9803921568627452,1.1102230246251565e-16,0.9880174291938999,0.0774187229247556
flowers102,RBF,True,500,None,False,False,False,0.9901960784313727,0.09754778795162942,0.9847494553376909,0.07690354071774635
flowers102,RBF,True,500,BothSides,True,False,True,68.2843137254902,3.9905092135165305,11.8921568627451,1.226354572917464
flowers102,RBF,True,500,BothSides,True,False,False,66.16666666666669,3.6982882040395944,11.457516339869285,1.1874517766397397
flowers102,RBF,True,500,BothSides,False,False,True,7.960784313725489,2.245419105392571,3.740740740740741,0.8668478184653332
flowers102,RBF,True,500,BothSides,False,False,False,7.813725490196077,2.145491414624359,3.6786492374727673,0.8659760751747136
flowers102,RBF,True,40,None,True,False,True,81.85294117647058,3.856058211292136,21.502178649237475,1.6691137147149535
flowers102,RBF,True,40,None,True,False,False,74.60784313725489,4.7455436510905695,19.98039215686275,1.6498273581509906
flowers102,RBF,True,40,None,False,False,True,19.93137254901961,3.345005515581329,7.339869281045752,1.1767509550538682
flowers102,RBF,True,40,None,False,False,False,18.43137254901961,3.9920143277455553,6.874727668845317,1.3439718794163056
flowers102,RBF,True,40,BothSides,True,False,True,99.0,0.9703406299340107,28.35185185185186,1.7734161300284437
flowers102,RBF,True,40,BothSides,True,False,False,93.72549019607844,2.3034000244060255,26.70588235294118,1.6869217878029876
flowers102,RBF,True,40,BothSides,False,False,True,95.93137254901963,1.540027262000492,20.708061002178646,1.2340177765305753
flowers102,RBF,True,40,BothSides,False,False,False,95.32352941176472,1.7909540306410112,20.22984749455338,1.2579973285105148
flowers102,RBF,True,30,None,True,False,True,91.43137254901961,2.7612271258069643,24.445533769063182,1.826826615922447
flowers102,RBF,True,30,None,True,False,False,83.38235294117646,3.726457562744515,22.367102396514166,1.655275624631779
flowers102,RBF,True,30,None,False,False,True,31.01960784313725,4.835868165596812,9.759259259259261,1.4575061630342498
flowers102,RBF,True,30,None,False,False,False,28.40196078431373,4.704769067659717,8.995642701525055,1.3271157378749923
flowers102,RBF,True,30,BothSides,True,False,True,99.2549019607843,0.8447317344524705,29.332244008714607,1.7646288882851406
flowers102,RBF,True,30,BothSides,True,False,False,92.09803921568627,2.712764762501628,27.015250544662308,1.6504616092826727
flowers102,RBF,True,30,BothSides,False,False,True,97.5,1.354041893816976,23.293028322440083,1.3545395748229137
flowers102,RBF,True,30,BothSides,False,False,False,96.86274509803923,1.3933990591717558,22.677559912854036,1.3528148720684674
flowers102,RBF,True,20,None,True,False,True,97.40196078431373,1.7558328126051315,28.637254901960787,1.4679549570005341
flowers102,RBF,True,20,None,True,False,False,86.92156862745098,3.0854173262126947,26.60021786492375,1.6782455521017083
flowers102,RBF,True,20,None,False,False,True,52.0,6.252903977410117,13.83986928104575,1.726940300306324
flowers102,RBF,True,20,None,False,False,False,46.06862745098039,5.452417288397209,12.589324618736383,1.4272443229468146
flowers102,RBF,True,20,BothSides,True,False,True,99.89215686274511,0.33663303359586844,31.59803921568627,1.6124399957446092
flowers102,RBF,True,20,BothSides,True,False,False,88.91176470588236,3.052453774988722,28.724400871459697,1.536503476453882
flowers102,RBF,True,20,BothSides,False,False,True,98.70588235294119,0.9184343865592471,27.068627450980397,1.5121218692307155
flowers102,RBF,True,20,BothSides,False,False,False,98.3529411764706,1.0082321672299983,26.33115468409586,1.515225092938769
flowers102,RBF,True,200,None,True,False,True,12.019607843137255,2.771650296694457,5.473856209150326,0.8968754318322697
flowers102,RBF,True,200,None,True,False,False,10.764705882352942,2.7062375441784403,5.076252723311547,1.1953817750439142
flowers102,RBF,True,200,None,False,False,True,1.8039215686274508,0.793088173182615,1.5152505446623092,0.49227229157890445
flowers102,RBF,True,200,None,False,False,False,1.7941176470588232,0.8883781212268286,1.43681917211329,0.555169886210989
flowers102,RBF,True,200,BothSides,True,False,True,96.01960784313728,1.7083597066633898,19.461873638344226,1.420240366447626
flowers102,RBF,True,200,BothSides,True,False,False,94.08823529411765,1.967903741671825,18.962962962962965,1.4105538259049633
flowers102,RBF,True,200,BothSides,False,False,True,62.00980392156864,4.247203209393668,9.323529411764707,1.3497162825614886
flowers102,RBF,True,200,BothSides,False,False,False,60.87254901960785,4.3094787473895515,9.18082788671024,1.3353964700708585
flowers102,RBF,True,10,None,True,False,True,99.36274509803923,0.7888959284034842,31.286492374727672,1.669781858065455
flowers102,RBF,True,10,None,True,False,False,81.29411764705881,3.544846425219706,27.643790849673206,1.775489190228983
flowers102,RBF,True,10,None,False,False,True,90.39215686274508,3.4606593322985857,23.58061002178649,1.7534035842814242
flowers102,RBF,True,10,None,False,False,False,86.921568627451,3.882699528993848,22.48366013071895,1.6077781897599208
flowers102,RBF,True,10,BothSides,True,False,True,99.90196078431373,0.2941176470588203,32.8202614379085,1.8630505298142048
flowers102,RBF,True,10,BothSides,True,False,False,81.48039215686273,3.523674530820657,28.430283224400878,1.639387950928876
flowers102,RBF,True,10,BothSides,False,False,True,99.93137254901961,0.25014413376809674,34.128540305010894,1.5042543573259861
flowers102,RBF,True,10,BothSides,False,False,False,99.83333333333334,0.36826745041162245,33.45860566448802,1.506057766224796
flowers102,RBF,True,100,None,True,False,True,34.11764705882353,4.983633343976014,11.165577342047932,1.491658941299816
flowers102,RBF,True,100,None,True,False,False,29.637254901960787,4.2663508209220025,10.394335511982572,1.3918806685428473
flowers102,RBF,True,100,None,False,False,True,5.029411764705883,1.795242334719491,3.0751633986928106,0.8639182127956591
flowers102,RBF,True,100,None,False,False,False,5.068627450980392,1.7152940728188846,3.006535947712419,0.7783908533747211
flowers102,RBF,True,100,BothSides,True,False,True,97.2450980392157,1.2299526595729073,23.119825708061004,1.649966885551334
flowers102,RBF,True,100,BothSides,True,False,False,94.91176470588235,1.8689010766064416,22.47821350762527,1.5087342597210158
flowers102,RBF,True,100,BothSides,False,False,True,85.97058823529413,3.03033173416205,13.714596949891066,1.3679158929879827
flowers102,RBF,True,100,BothSides,False,False,False,84.87254901960787,2.9777303645223707,13.47058823529412,1.3671106423728612
flowers102,RBF,True,1000,None,True,False,True,0.9803921568627452,1.1102230246251565e-16,0.9836601307189545,0.06249154470267304
flowers102,RBF,True,1000,None,True,False,False,0.9803921568627452,1.1102230246251565e-16,0.9869281045751636,0.06127390462058923
flowers102,RBF,True,1000,None,False,False,True,0.9803921568627452,1.1102230246251565e-16,0.9956427015250547,0.05970452987383317
flowers102,RBF,True,1000,None,False,False,False,0.9803921568627452,1.1102230246251565e-16,0.9956427015250547,0.05970452987383317
flowers102,RBF,True,1000,BothSides,True,False,True,1.196078431372549,0.4291386005537115,1.0555555555555558,0.14426458568933279
flowers102,RBF,True,1000,BothSides,True,False,False,1.0490196078431373,0.2501441337680995,1.062091503267974,0.16037507477489604
flowers102,RBF,True,1000,BothSides,False,False,True,0.9901960784313727,0.09754778795162942,1.0000000000000004,0.08061002178649236
flowers102,RBF,True,1000,BothSides,False,False,False,0.9901960784313727,0.09754778795162941,1.0000000000000002,0.08629761359624558
flowers102,RBF,True,0,None,False,False,True,0.9803921568627452,1.1102230246251565e-16,0.9901960784313728,0.05357661275537224
flowers102,RBF,True,0,None,False,False,False,0.9803921568627452,1.1102230246251565e-16,0.9880174291939001,0.0560869963479564
flowers102,RBF,True,0,BothSides,False,False,True,0.9705882352941176,0.09754778795162941,0.9956427015250549,0.12229579259857243
flowers102,RBF,True,0,BothSides,False,False,False,0.9705882352941176,0.09754778795162941,0.9967320261437911,0.11042012490584585
flowers102,RBF,False,5,None,True,False,True,99.66666666666666,0.5753490490635742,30.080610021786498,1.6293339705932968
flowers102,RBF,False,5,None,True,False,False,72.63725490196077,3.9168967269054464,24.860566448801748,1.595448205663751
flowers102,RBF,False,5,None,False,False,True,99.57843137254902,0.6083963327098095,29.692810457516348,1.7574408673761666
flowers102,RBF,False,5,None,False,False,False,99.58823529411765,0.5401951887825813,29.141612200435734,1.68521581556028
flowers102,RBF,False,5,BothSides,True,False,True,99.76470588235296,0.50220582254375,31.690631808278873,1.891456542622717
flowers102,RBF,False,5,BothSides,True,False,False,72.63725490196077,3.9168967269054464,25.233115468409594,1.8056862533491924
flowers102,RBF,False,5,BothSides,False,False,True,99.98039215686275,0.13725490196078285,34.309368191721134,1.6610625304802678
flowers102,RBF,False,5,BothSides,False,False,False,99.98039215686275,0.13725490196078285,33.6078431372549,1.7036340523682663
flowers102,RBF,False,50,None,True,False,True,69.80392156862746,4.496998016148908,17.946623093681918,1.67198909504501
flowers102,RBF,False,50,None,True,False,False,64.40196078431373,4.359593486016992,16.839869281045754,1.522102262384304
flowers102,RBF,False,50,None,False,False,True,17.911764705882355,3.5398945631018077,6.516339869281046,1.20155813866598
flowers102,RBF,False,50,None,False,False,False,17.176470588235293,3.414468164869057,6.321350762527232,1.2593322871226449
flowers102,RBF,False,50,BothSides,True,False,True,98.43137254901961,1.0188534162169893,26.288671023965144,1.5827894207310267
flowers102,RBF,False,50,BothSides,True,False,False,95.64705882352942,1.887452243311198,25.29302832244009,1.51472497772886
flowers102,RBF,False,50,BothSides,False,False,True,95.38235294117649,1.665484009462327,18.710239651416124,1.3129068868082208
flowers102,RBF,False,50,BothSides,False,False,False,94.64705882352942,1.8152881450602565,18.298474945533773,1.2864162765574039
flowers102,RBF,False,500,None,True,False,True,1.852941176470588,0.8757377293172817,1.4891067538126357,0.4593425013339585
flowers102,RBF,False,500,None,True,False,False,1.9999999999999993,0.9497161598676342,1.5664488017429192,0.5360495501666876
flowers102,RBF,False,500,None,False,False,True,1.0,0.1372549019607843,0.9978213507625274,0.0811089780783716
flowers102,RBF,False,500,None,False,False,False,0.9901960784313727,0.09754778795162941,1.0010893246187367,0.1349136346302607
flowers102,RBF,False,500,BothSides,True,False,True,65.91176470588238,4.395077372859085,10.339869281045754,1.2211790545539827
flowers102,RBF,False,500,BothSides,True,False,False,63.882352941176485,4.396968652757639,9.988017429193901,1.1877830005062961
flowers102,RBF,False,500,BothSides,False,False,True,11.549019607843135,2.5737114781536214,3.6263616557734206,0.7485958934414282
flowers102,RBF,False,500,BothSides,False,False,False,11.27450980392157,2.661543521666319,3.5784313725490198,0.7327479517901524
flowers102,RBF,False,40,None,True,False,True,81.02941176470587,3.915129517499106,20.59041394335512,1.6889787642098528
flowers102,RBF,False,40,None,True,False,False,75.30392156862744,4.517672164282096,19.25054466230937,1.6480930690167492
flowers102,RBF,False,40,None,False,False,True,24.225490196078425,4.33438679413819,7.8267973856209165,1.3127491611929654
flowers102,RBF,False,40,None,False,False,False,22.735294117647054,4.272744283707623,7.53921568627451,1.3506127367926652
flowers102,RBF,False,40,BothSides,True,False,True,98.96078431372551,0.8181429821578478,27.724400871459704,1.6787969719487064
flowers102,RBF,False,40,BothSides,True,False,False,96.13725490196079,1.6627404735414806,26.61873638344226,1.5884370080895438
flowers102,RBF,False,40,BothSides,False,False,True,96.10784313725493,1.3616867098882195,20.164488017429196,1.3700304554683858
flowers102,RBF,False,40,BothSides,False,False,False,95.49019607843138,1.5251322731474575,19.763616557734203,1.3611114380392288
flowers102,RBF,False,30,None,True,False,True,91.01960784313725,3.172958600769817,23.572984749455344,1.8793927947161149
flowers102,RBF,False,30,None,True,False,False,86.04901960784314,3.236348610089531,22.143790849673202,1.6263496169772163
flowers102,RBF,False,30,None,False,False,True,36.137254901960794,4.995230327867835,10.212418300653596,1.3803402169702799
flowers102,RBF,False,30,None,False,False,False,33.568627450980394,4.752869992348584,9.606753812636168,1.4191098863052158
flowers102,RBF,False,30,BothSides,True,False,True,99.34313725490196,0.7601043049490983,29.111111111111114,1.7158934065926699
flowers102,RBF,False,30,BothSides,True,False,False,95.55882352941177,1.99217519676603,27.894335511982575,1.5531381685169616
flowers102,RBF,False,30,BothSides,False,False,True,97.62745098039215,1.2568918047480298,22.706971677559917,1.429995308413218
